D1 [cm],D2 [cm],D3 [cm],D4 [cm],setup length [m],Pz [eV/c],"f(x',y') [mrad^2]",x acceptance [mrad],y acceptance [mrad],x'_2/x'_1 [mrad/mrad],y'_2/y'_1 [mrad/mrad],x_2/x_1 [mm/mm],y_2/y_1 [mm/mm],x_2 of initial x angle [mm],y_2 of initial y angle [mm]
35.0,2.5001,4.8058,,2.0,200000000.0,99.34004928640002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
35.0,2.5001,4.8058,,2.0,250000000.0,23.0012600996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
35.0,2.5002,4.8058,,2.0,300000000.0,5.014905080399999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
35.0,2.5001,4.8058,,2.0,350000000.0,0.6248857185000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
35.0,2.6922,5.0926,,2.0,400000000.0,2.286655796e-17,9.7,8.2,-0.35912,-0.29422,-2.7847,-3.3988,2.329e-09,-4.1764e-09
35.0,3.9936,5.1925,,3.0,450000000.0,7.918767418e-19,9.7,8.2,-0.21363,-0.18594,-4.681,-5.3781,-1.5273e-10,-8.7667e-10
35.0,4.6265,8.7372,,3.0,500000000.0,5.568082592000001e-15,9.7,8.3,-0.2516,-0.17945,-3.9746,-5.5727,-5.2804e-08,-5.2724e-08
35.0,5.408,12.398,,3.0,550000000.0,1.80795816884e-13,9.6,8.4,-0.29003,-0.17587,-3.4479,-5.6861,-4.2281e-07,4.5028e-08
35.0,6.2773,16.2675,,3.0,600000000.0,1.822211089e-13,9.6,8.4,-0.3309,-0.17386,-3.022,-5.7515,3.5383e-07,-2.388e-07
35.0,7.2046,20.4036,,3.0,650000000.0,2.47966546e-08,9.6,8.5,-0.37561,-0.17289,-2.6627,-5.7858,-0.00011635,-0.00010611
35.0,8.1709,24.8547,,3.0,700000000.0,1.0864052653e-22,9.6,8.5,-0.42521,-0.17247,-2.3517,-5.798,8.3178e-12,-6.2813e-12
35.0,9.1587,29.6955,,3.0,750000000.0,7.900717225e-21,9.5,8.5,-0.48145,-0.1725,-2.0771,-5.7971,2.6125e-11,8.496e-11
35.0,10.1524,35.0185,,3.0,800000000.0,9.166513959999999e-11,9.5,8.6,-0.54623,-0.17275,-1.8307,-5.7885,4.3842e-06,8.5114e-06
35.0,11.1336,40.9673,,3.0,850000000.0,8.186092236999999e-23,9.5,8.6,-0.62258,-0.17307,-1.6062,-5.7781,-2.3354e-12,-8.7411e-12
35.0,12.0779,47.7772,,3.0,900000000.0,1.8668101796e-10,9.4,8.6,-0.71541,-0.17324,-1.3978,-5.772,-5.0086e-06,1.2712e-05
35.0,12.9474,55.8872,,3.0,950000000.0,1.4586061489e-14,9.4,8.6,-0.83395,-0.17304,-1.1991,-5.7791,-1.1388e-07,-4.0217e-08
35.0,17.1918,49.0357,,2.0,1000000000.0,0.8916827690000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
34.0,2.5001,4.8058,,2.0,200000000.0,95.3165605981,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
34.0,2.5001,4.8058,,2.0,250000000.0,21.9184945769,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
34.0,2.5002,4.8058,,2.0,300000000.0,4.695046283599999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
34.0,2.5001,4.8058,,2.0,350000000.0,0.5478077539999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
34.0,2.614,5.53,,2.0,400000000.0,2.5969164029000002e-18,10.0,8.4,-0.36275,-0.28177,-2.7568,-3.5491,1.3705e-09,-8.4773e-10
34.0,3.9335,5.6387,,3.0,450000000.0,4.2999695649999996e-21,10.0,8.5,-0.2158,-0.17883,-4.6338,-5.592,6.2598e-11,1.9531e-11
34.0,4.622,9.138,,3.0,500000000.0,2.90232171956e-21,9.9,8.6,-0.25284,-0.17345,-3.955,-5.7654,5.3782e-11,3.1334e-12
34.0,5.4409,12.7793,,3.0,550000000.0,4.703322125e-17,9.9,8.6,-0.29083,-0.17051,-3.4384,-5.8647,6.2995e-09,-2.711e-09
34.0,6.3406,16.6375,,3.0,600000000.0,3.119368768e-11,9.9,8.7,-0.33146,-0.16896,-3.0168,-5.9185,1.8688e-06,-5.2632e-06
34.0,7.295,20.7629,,3.0,650000000.0,9.920972965e-13,9.8,8.7,-0.37598,-0.16829,-2.6597,-5.9422,6.4591e-07,-7.5822e-07
34.0,8.2856,25.2091,,3.0,700000000.0,9.816239392000002e-09,9.8,8.7,-0.42567,-0.16821,-2.3495,-5.946,-7.4004e-05,-6.5876e-05
34.0,9.2974,30.0378,,3.0,750000000.0,8.323808948e-11,9.8,8.8,-0.48182,-0.16846,-2.0755,-5.9363,4.8538e-06,-7.7252e-06
34.0,10.3139,35.3473,,3.0,800000000.0,1.5626656900000004e-11,9.7,8.8,-0.5466,-0.16892,-1.8295,-5.92,-1.9221e-06,3.4543e-06
34.0,11.3176,41.2774,,3.0,850000000.0,4.019825185000001e-13,9.7,8.8,-0.62288,-0.16942,-1.6054,-5.9022,5.0063e-07,-3.8904e-07
34.0,12.2852,48.0604,,3.0,900000000.0,6.5042888000000015e-22,9.7,8.9,-0.71552,-0.1698,-1.3976,-5.8893,-1.3016e-11,2.1932e-11
34.0,13.1779,56.1287,,3.0,950000000.0,4.638066382899999e-14,9.7,8.9,-0.83364,-0.16978,-1.1996,-5.8899,1.9601e-07,8.9223e-08
34.0,17.1854,49.8173,,2.0,1000000000.0,0.8968627993960002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
36.0,2.5005,4.8059,,2.0,200000000.0,103.37654647840002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
36.0,2.5001,4.8058,,2.0,250000000.0,24.0884343281,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
36.0,2.5002,4.8058,,2.0,300000000.0,5.339106534400001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
36.0,2.5001,4.8058,,2.0,350000000.0,0.7055756353,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
36.0,2.7315,4.8001,,2.0,400000000.0,7.787865681999999e-05,9.5,8.0,-0.36435,-0.3075,-2.7947,-3.2791,-0.0083629,-0.0028179
36.0,4.0418,4.8001,,3.0,450000000.0,4.24340518484e-05,9.4,8.0,-0.21472,-0.19271,-4.7201,-5.1821,-0.0064922,0.00053422
36.0,4.6419,8.3278,,3.0,500000000.0,3.4325549609e-18,9.4,8.1,-0.25024,-0.18569,-3.9962,-5.3854,-1.8154e-09,3.6997e-10
36.0,5.3836,12.0123,,3.0,550000000.0,1.3419773520110014e-13,9.4,8.2,-0.28921,-0.18139,-3.4577,-5.5131,3.6633e-07,2.5749e-10
36.0,6.2217,15.8944,,3.0,600000000.0,6.5935036129e-14,9.4,8.2,-0.33036,-0.1789,-3.027,-5.5897,-2.5558e-07,-2.4777e-08
36.0,7.1219,20.0392,,3.0,650000000.0,7.231609633000001e-09,9.3,8.3,-0.3752,-0.17753,-2.6655,-5.6335,-6.2737e-05,-5.7408e-05
36.0,8.063,24.5005,,3.0,700000000.0,9.315283042e-21,9.3,8.3,-0.42492,-0.17684,-2.3533,-5.6547,-7.2729e-11,-6.3449e-11
36.0,9.0273,29.3516,,3.0,750000000.0,4.048670837e-11,9.3,8.3,-0.48121,-0.17662,-2.0781,-5.6618,3.5014e-06,-5.3129e-06
36.0,9.9977,34.6888,,3.0,800000000.0,3.2806934869e-12,9.3,8.4,-0.54607,-0.17665,-1.8313,-5.6608,-8.7063e-07,1.5883e-06
36.0,10.9564,40.6559,,3.0,850000000.0,2.0353100700999998e-10,9.2,8.4,-0.62251,-0.17676,-1.6064,-5.6574,6.0651e-06,-1.2913e-05
36.0,11.8785,47.4924,,3.0,900000000.0,6.075303757000001e-23,9.2,8.4,-0.71553,-0.17674,-1.3976,-5.6578,1.9794e-12,-7.5389e-12
36.0,12.724,55.6464,,3.0,950000000.0,3.0387185469e-26,9.2,8.4,-0.8346,-0.17633,-1.1982,-5.6711,1.7157e-13,3.0837e-14
36.0,17.2359,48.1252,,2.0,1000000000.0,0.886662674125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
33.0,2.5001,4.8058,,2.0,200000000.0,91.2953886436,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
33.0,2.5002,4.8058,,2.0,250000000.0,20.8416013181,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
33.0,2.5002,4.8058,,2.0,300000000.0,4.379675131600001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
33.0,2.5001,4.8058,,2.0,350000000.0,0.4745969,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
33.0,2.5561,5.9402,,2.0,400000000.0,1.8353457460000002e-17,10.3,8.6,-0.36555,-0.27017,-2.7355,-3.7016,-1.0961e-09,4.1415e-09
33.0,3.8905,6.0659,,3.0,450000000.0,4.655177488900001e-20,10.2,8.7,-0.2177,-0.17212,-4.5934,-5.81,-1.952e-10,-9.1917e-11
33.0,4.6289,9.5296,,3.0,500000000.0,4.747598676916e-14,10.2,8.8,-0.25398,-0.16768,-3.9373,-5.9636,7.8054e-09,-2.1775e-07
33.0,5.4829,13.1556,,3.0,550000000.0,1.8128840756e-12,10.2,8.8,-0.29161,-0.16532,-3.4292,-6.0487,-1.1516e-07,-1.3415e-06
33.0,6.4122,17.0045,,3.0,600000000.0,2.904710621000001e-15,10.1,8.9,-0.33206,-0.16418,-3.0114,-6.0907,4.877e-08,2.2939e-08
33.0,7.3931,21.1225,,3.0,650000000.0,1.083079405e-09,10.1,8.9,-0.37652,-0.16383,-2.656,-6.104,-2.9197e-05,-1.5186e-05
33.0,8.4089,25.5579,,3.0,700000000.0,3.92092065e-24,10.1,9.0,-0.42611,-0.164,-2.3468,-6.0978,1.9671e-12,2.268e-13
33.0,9.4441,30.3773,,3.0,750000000.0,6.431911531600002e-22,10.0,9.0,-0.48232,-0.16449,-2.0733,-6.0795,-3.7596e-12,2.5081e-11
33.0,10.4835,35.6734,,3.0,800000000.0,2.834090621e-11,10.0,9.0,-0.5471,-0.16516,-1.8278,-6.0549,2.5765e-06,-4.6586e-06
33.0,11.5098,41.5855,,3.0,850000000.0,3.7268906276e-12,10.0,9.1,-0.62336,-0.16584,-1.6042,-6.0296,-8.6576e-07,1.7255e-06
33.0,12.4999,48.3424,,3.0,900000000.0,1.1233063010000003e-17,10.0,9.1,-0.71587,-0.1664,-1.3969,-6.0096,3.085e-09,1.3099e-09
33.0,13.4165,56.3685,,3.0,950000000.0,3.365662525e-11,9.9,9.1,-0.83361,-0.16657,-1.1996,-6.0034,1.9525e-06,-5.463e-06
33.0,17.2494,50.4897,,2.0,1000000000.0,0.9022093364,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5.0,2.5002,4.8059,,2.0,200000000.0,5.137371827600003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5.0,2.5001,4.8057,,2.0,250000000.0,0.1780144897,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5.0,3.4895,5.921,,3.0,300000000.0,9.918255874e-13,31.0,36.7,-0.18618,-0.04666,-5.3708,-21.434,3.9535e-07,-9.1407e-07
5.0,5.1266,8.6946,,3.0,350000000.0,9.26644772e-13,26.8,37.3,-0.21885,-0.04997,-4.5691,-20.013,1.1558e-07,9.5566e-07
5.0,6.8089,11.6131,,3.0,400000000.0,4.404784201000001e-13,23.5,35.3,-0.25447,-0.05344,-3.9294,-18.713,-1.6224e-07,6.4355e-07
5.0,8.5207,14.6835,,3.0,450000000.0,2.56809809609e-13,20.7,33.0,-0.29324,-0.05701,-3.4101,-17.539,5.015e-07,7.2853e-08
5.0,10.2507,17.9185,,3.0,500000000.0,8.902121569999998e-10,18.5,31.0,-0.3354,-0.06065,-2.9814,-16.486,2.7646e-05,1.1221e-05
5.0,11.9903,21.3372,,3.0,550000000.0,9.435474320000001e-20,16.6,29.2,-0.38141,-0.06434,-2.6218,-15.543,-9.794e-11,2.9114e-10
5.0,13.7318,24.9646,,3.0,600000000.0,1.0544133279999998e-08,15.0,27.6,-0.43185,-0.06805,-2.3157,-14.698,-9.5564e-05,-3.7572e-05
5.0,15.4683,28.8311,,3.0,650000000.0,2.794535677000001e-17,13.6,26.2,-0.48729,-0.07173,-2.0522,-13.941,2.0754e-09,-4.8619e-09
5.0,17.1928,32.9807,,3.0,700000000.0,2.192605505e-09,12.4,24.9,-0.54882,-0.07539,-1.822,-13.262,4.3649e-05,1.6952e-05
5.0,18.8986,37.4714,,3.0,750000000.0,2.8218353770000003e-09,11.3,23.8,-0.61788,-0.07902,-1.6185,-12.655,-4.9689e-05,-1.8784e-05
5.0,20.5768,42.3793,,3.0,800000000.0,2.3876609249000002e-18,10.4,22.8,-0.69613,-0.08256,-1.4365,-12.112,-2.8657e-10,1.5184e-09
5.0,22.2169,47.8205,,3.0,850000000.0,8.056625230400002e-12,9.5,21.8,-0.7865,-0.08598,-1.2714,-11.63,2.7338e-06,7.6352e-07
5.0,23.804,53.97,,3.0,900000000.0,6.80117657e-14,8.7,21.0,-0.89335,-0.08924,-1.1194,-11.205,-2.1949e-07,1.4084e-07
5.0,23.1556,59.9985,,2.0,950000000.0,1.0250107178,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5.0,24.396,59.9765,,2.0,1000000000.0,1.3451308360999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.0,2.5002,4.8058,,2.0,200000000.0,9.887603536100002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.0,2.5001,4.8056,,2.0,250000000.0,0.891373361,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.0,2.6015,5.3126,,3.0,300000000.0,2.263953805e-13,33.8,27.0,-0.17192,-0.05602,-5.8166,-17.851,1.2019e-07,4.6038e-07
8.0,4.0815,8.0998,,3.0,350000000.0,1.71168845e-12,29.2,27.4,-0.20242,-0.05885,-4.9401,-16.992,-1.133e-07,-1.3034e-06
8.0,5.6262,11.0401,,3.0,400000000.0,7.544058238489999e-17,25.5,27.7,-0.23588,-0.06195,-4.2393,-16.142,6.6707e-10,-8.66e-09
8.0,7.2174,14.1364,,3.0,450000000.0,4.215884712399999e-18,22.4,28.0,-0.27248,-0.06522,-3.6698,-15.331,-9.0532e-10,1.8429e-09
8.0,8.841,17.3981,,3.0,500000000.0,2.6735144225000006e-08,19.9,27.8,-0.31246,-0.0686,-3.2,-14.571,0.0001472,7.1185e-05
8.0,10.4856,20.8455,,3.0,550000000.0,6.830364185e-09,17.9,26.4,-0.35632,-0.07209,-2.8062,-13.868,7.4597e-05,3.5576e-05
8.0,12.1423,24.501,,3.0,600000000.0,1.7434881280000002e-09,16.1,25.1,-0.40453,-0.07563,-2.4719,-13.221,3.8152e-05,1.6968e-05
8.0,13.8022,28.3968,,3.0,650000000.0,1.3387235490000003e-09,14.5,24.0,-0.45775,-0.07917,-2.1845,-12.63,3.3018e-05,1.5765e-05
8.0,15.4576,32.5758,,3.0,700000000.0,1.8053682250000002e-13,13.2,22.9,-0.51697,-0.08271,-1.9343,-12.09,-1.8857e-07,3.8076e-07
8.0,17.1,37.0959,,3.0,750000000.0,4.183763948900002e-12,12.0,22.0,-0.58343,-0.0862,-1.714,-11.601,-6.7967e-07,1.9292e-06
8.0,18.7198,42.0358,,3.0,800000000.0,4.932109872100001e-10,11.0,21.1,-0.65897,-0.08961,-1.5175,-11.158,2.0224e-05,9.1761e-06
8.0,20.3061,47.512,,3.0,850000000.0,1.5771166450000005e-13,10.0,20.3,-0.74634,-0.09292,-1.3399,-10.761,1.8337e-07,-3.5226e-07
8.0,21.8426,53.7047,,3.0,900000000.0,7.79193698e-22,9.1,19.6,-0.8498,-0.09605,-1.1767,-10.41,2.0227e-11,-1.9237e-11
8.0,21.7625,59.9964,,2.0,950000000.0,0.94523833,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.0,23.1109,59.9779,,2.0,1000000000.0,1.2456358601000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6.0,2.5002,4.8058,,2.0,200000000.0,6.53851658,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6.0,2.5001,4.8057,,2.0,250000000.0,0.3567632722,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6.0,3.1525,5.7348,,3.0,300000000.0,9.308065480100002e-12,32.0,32.8,-0.18068,-0.04967,-5.5345,-20.134,6.1151e-07,2.989e-06
6.0,4.7369,8.5141,,3.0,350000000.0,1.8698940081e-12,27.7,33.3,-0.21258,-0.05283,-4.7038,-18.927,1.6209e-07,1.3578e-06
6.0,6.3735,11.4403,,3.0,400000000.0,8.617263469599999e-14,24.2,33.7,-0.24746,-0.05619,-4.0409,-17.796,4.7214e-08,-2.8973e-07
6.0,8.0455,14.5193,,3.0,450000000.0,1.05766658244e-09,21.3,31.7,-0.28548,-0.05966,-3.5028,-16.756,3.4338e-06,3.234e-05
6.0,9.7411,17.7633,,3.0,500000000.0,1.3931504261000002e-20,19.0,29.9,-0.32692,-0.06325,-3.0588,-15.811,1.0709e-10,4.9631e-11
6.0,11.4499,21.1909,,3.0,550000000.0,1.4079753841e-12,17.0,28.2,-0.3722,-0.06687,-2.6867,-14.954,4.6329e-07,-1.0924e-06
6.0,13.164,24.8269,,3.0,600000000.0,1.198091834e-09,15.4,26.8,-0.42185,-0.07052,-2.3706,-14.181,-3.1955e-05,-1.3303e-05
6.0,14.876,28.7022,,3.0,650000000.0,1.129995764e-09,13.9,25.4,-0.47652,-0.07416,-2.0985,-13.483,3.094e-05,1.3142e-05
6.0,16.5787,32.8606,,3.0,700000000.0,4.727856249999999e-09,12.7,24.2,-0.53727,-0.07778,-1.8612,-12.855,6.3561e-05,2.6227e-05
6.0,18.2643,37.3605,,3.0,750000000.0,5.914946738e-25,11.6,23.2,-0.60542,-0.08137,-1.6517,-12.289,7.6223e-13,1.0247e-13
6.0,19.9242,42.2786,,3.0,800000000.0,1.5480186089e-10,10.6,22.2,-0.68276,-0.08487,-1.4646,-11.782,1.1024e-05,5.7683e-06
6.0,21.5474,47.7305,,3.0,850000000.0,5.190432013e-11,9.7,21.3,-0.77209,-0.08826,-1.29519,-11.33,5.5178e-06,4.6323e-06
6.0,23.1185,53.8935,,3.0,900000000.0,3.4064302001e-12,8.8,20.5,-0.87775,-0.09148,-1.1393,-10.931,-1.8424e-06,1.0951e-07
6.0,22.563,59.9966,,2.0,950000000.0,0.9964384205000004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6.0,23.8725,59.9839,,2.0,1000000000.0,1.3096080036,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,2.5001,4.8057,,2.0,200000000.0,1.5342490831999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,3.4486,4.8001,,2.0,250000000.0,0.00204331912101,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,5.4227,6.4512,,3.0,300000000.0,5.658438600400001e-12,26.1,52.2,-0.22008,-0.03557,-4.5433,-28.116,-6.5252e-07,-2.2875e-06
1.0,7.2565,9.1999,,3.0,350000000.0,3.016487156e-09,22.8,47.2,-0.25571,-0.03933,-3.9101,-25.42,5.27e-05,1.5466e-05
1.0,9.1023,12.0907,,3.0,400000000.0,7.895564792695038e-14,20.2,43.0,-0.29425,-0.04316,-3.3984,-23.169,-2.8099e-07,-5.1752e-10
1.0,10.9519,15.1333,,3.0,450000000.0,1.0647914274e-08,18.0,39.5,-0.33586,-0.04702,-2.9774,-21.272,-9.8943e-05,-2.9295e-05
1.0,12.8001,18.3382,,3.0,500000000.0,5.8024687361000004e-08,16.2,36.6,-0.38072,-0.05085,-2.6262,-19.654,0.00023078,6.9031e-05
1.0,14.6417,21.7311,,3.0,550000000.0,6.43327511561e-21,14.7,34.0,-0.4297,-0.05475,-2.3271,-18.265,-1.5869e-12,8.0192e-11
1.0,16.4723,25.332,,3.0,600000000.0,5.708567401e-09,13.3,31.8,-0.48311,-0.05862,-2.0699,-17.062,-7.2549e-05,-2.11e-05
1.0,18.2873,29.173,,3.0,650000000.0,2.550152345000001e-19,12.2,29.9,-0.5417,-0.06245,-1.846,-16.013,-1.4684e-10,4.8317e-10
1.0,20.0822,33.297,,3.0,700000000.0,2.0771188839999997e-09,11.2,28.2,-0.60662,-0.06624,-1.6484,-15.095,4.3622e-05,1.32e-05
1.0,21.8506,37.7612,,3.0,750000000.0,1.620513689e-15,10.3,26.7,-0.67933,-0.06999,-1.472,-14.288,1.4392e-08,-3.7595e-08
1.0,23.5858,42.6423,,3.0,800000000.0,1.1367633341e-18,9.4,25.4,-0.7617,-0.07365,-1.3128,-13.577,-3.4421e-10,1.0091e-09
1.0,25.2776,48.053,,3.0,850000000.0,3.180343850000001e-14,8.7,24.2,-0.8567,-0.0772,-1.1673,-12.953,1.3748e-07,-1.1359e-07
1.0,26.913,54.1668,,3.0,900000000.0,1.7341685161000005e-12,8.0,23.2,-0.96895,-0.08059,-1.032,-12.409,-5.5931e-07,-1.1922e-06
1.0,25.2616,59.9913,,2.0,950000000.0,1.1636606503999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,26.2079,59.9883,,2.0,1000000000.0,1.5130716724000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.0,2.5001,4.8057,,2.0,200000000.0,2.9194521625000003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.0,2.5001,4.8058,,2.0,250000000.0,0.009590573093,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.0,4.3193,6.2332,,3.0,300000000.0,3.5433683701e-12,28.7,45.8,-0.20027,-0.04093,-4.99289,-24.431,-5.2151e-07,-1.8087e-06
3.0,6.0604,8.9941,,3.0,350000000.0,5.9324186596e-14,25.0,42.0,-0.23452,-0.0445,-4.26389,-22.473,-3.9386e-08,-2.4036e-07
3.0,7.8303,11.8975,,3.0,400000000.0,2.6080782884e-12,21.9,38.8,-0.27165,-0.04816,-3.681,-20.764,6.7222e-07,1.4684e-06
3.0,9.6171,14.9518,,3.0,450000000.0,2.4088831121e-14,19.5,36.0,-0.31188,-0.05189,-3.2062,-19.27199,-5.5561e-08,1.4492e-07
3.0,11.4118,18.1696,,3.0,500000000.0,3.5323301e-08,17.4,33.6,-0.35544,-0.05563,-2.813,-17.96699,0.00017041,7.927e-05
3.0,13.2078,21.5725,,3.0,550000000.0,1.85066089e-08,15.7,31.4,-0.40294,-0.05942,-2.4815,-16.822,0.0001236,5.683e-05
3.0,14.999,25.1864,,3.0,600000000.0,3.8957842984000014e-08,14.2,29.6,-0.455,-0.06325,-2.198,-15.816,-0.00018641,-6.4878e-05
3.0,16.7795,29.0366,,3.0,650000000.0,2.39411008e-09,12.9,27.9,-0.51193,-0.067,-1.9533,-14.924,4.6248e-05,1.5976e-05
3.0,18.5436,33.1718,,3.0,700000000.0,1.577159425e-09,11.8,26.5,-0.5752,-0.07074,-1.7385,-14.135,3.7671e-05,1.2572e-05
3.0,20.2848,37.6474,,3.0,750000000.0,2.446725745e-09,10.8,25.2,-0.64603,-0.07444,-1.5479,-13.435,-4.6584e-05,-1.6633e-05
3.0,21.9955,42.539,,3.0,800000000.0,3.1322629249000007e-12,9.9,24.0,-0.72628,-0.07803,-1.3768,-12.814,-5.7793e-07,1.6728e-06
3.0,23.6651,47.9617,,3.0,850000000.0,1.904861165e-13,9.1,23.0,-0.81888,-0.08153,-1.2212,-12.265,-3.5794e-07,2.4973e-07
3.0,25.2797,54.0906,,3.0,900000000.0,2.630265381e-19,8.3,22.0,-0.9283,-0.08486,-1.0772,-11.784,4.023e-10,3.1809e-10
3.0,24.1621,59.9942,,2.0,950000000.0,1.0891962289000003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.0,25.2564,59.9813,,2.0,1000000000.0,1.4235122755999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4.0,2.5001,4.8058,,2.0,200000000.0,3.92814089,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4.0,2.5001,4.8058,,2.0,250000000.0,0.0615234978,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4.0,3.8756,6.0878,,3.0,300000000.0,2.3751999369000012e-20,29.9,41.7,-0.19265,-0.04375,-5.1906,-22.86,1.4994e-10,-3.5637e-11
4.0,5.5654,8.8552,,3.0,350000000.0,6.461196989600005e-14,25.9,39.8,-0.2261,-0.04719,-4.4225,-21.19,-4.2386e-08,-2.5063e-07
4.0,7.2922,11.7675,,3.0,400000000.0,8.254303356100003e-08,22.7,37.0,-0.26262,-0.0508,-3.8089,-19.701,-0.00027048,-9.6869e-05
4.0,9.0426,14.8281,,3.0,450000000.0,6.9400781840000006e-15,20.1,34.5,-0.302,-0.05442,-3.3112,-18.376,-8.089e-08,-1.9922e-08
